title,url,views_text,upload_text,duration_text,channel,views,days_since_upload,duration_minutes,videoId,title_length,num_hashtags,was_scraped,was_api
"Robot Scares Dog, But Cat Stays Cool #trending #animals #wildlife #cat #dog #shorts",https://www.youtube.com/shorts/skBbw8SgT6Y,77M views,1 month ago,,Rendi goodboy,77000000,0.0006944444444444445,,skBbw8SgT6Y,83,6,True,False
Bloom,https://www.youtube.com/watch?v=h1wPRrJls1I&list=RDh1wPRrJls1I&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,605K views,,3:40,Prateek Kuhad,605000,,3.6666666666666665,h1wPRrJls1I,5,0,True,False
Laufey’s New Lover Girl Dance Trend 💃🔥,https://www.youtube.com/shorts/713vZXoC6co,4M views,3 weeks ago,,Dance Media,4000000,21.0,,713vZXoC6co,38,0,True,False
camera trend 🎥🔴 || #dandysworld #trending #animation #roblox #edit #givemebackmykids #art #tiktok,https://www.youtube.com/shorts/rLFv55Pbia4,1.1M views,5 months ago,,viriri,1100000,0.003472222222222222,,rLFv55Pbia4,97,8,True,False
2025 Trends That Look CHEAP #shorts #viral #shortvideo #viralvideo #trending #fashion #aesthetic,https://www.youtube.com/shorts/k67TwilE96c,737K views,5 months ago,,Let’s Style It,737000,0.003472222222222222,,k67TwilE96c,96,7,True,False
New Christian dance trend❤️❤️!! #dance #tiktok #trending #shorts #fyp #christian #music,https://www.youtube.com/shorts/0-fTAqYCiPc,8.2M views,6 months ago,,Short Trends,8199999,0.004166666666666667,,0-fTAqYCiPc,87,7,True,False
"this trend idk what’s it called 😭 | #dandysworld #shorts | rushed | tw: fruitcake, berryfunny?",https://www.youtube.com/shorts/bzcqrnE-8zY,5.6M views,6 months ago,,doggo!!,5600000,0.004166666666666667,,bzcqrnE-8zY,94,2,True,False
Spotify Playlist 2025 🌴 Trending Music 2025 New Songs | Best Hits Mix of the Year,https://www.youtube.com/watch?v=qEOPqopV5nU&list=RDqEOPqopV5nU&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,23K views,2 days ago,2:33:05,Dynamic Deep House,23000,2.0,153.08333333333334,qEOPqopV5nU,81,0,True,False
Get your head in the game 🏀 *2025 Dance Trend* #Shorts @peja @sydneytaleah,https://www.youtube.com/shorts/koin4x1CGoQ,970K views,2 months ago,,Brat TV,970000,0.001388888888888889,,koin4x1CGoQ,74,1,True,False
The CRAZIEST questions! #scarlett #trends #dance,https://www.youtube.com/shorts/cS5qlzT-EVI,19M views,7 months ago,,Scarlett and Tiania,19000000,0.004861111111111111,,cS5qlzT-EVI,48,3,True,False
Sundari (Official Video) Sanju Rathod Ft. Yashika Jatav | G-Spark | Marathi Song 2025,https://www.youtube.com/watch?v=WpBn9w-Js_c&list=RDWpBn9w-Js_c&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,66M views,1 month ago,3:18,Sanju Rathod SR,66000000,0.0006944444444444445,3.3,WpBn9w-Js_c,85,0,True,False
Diamond Platnumz - Nani (Official Music Video),https://www.youtube.com/watch?v=BaSxCDp04WI&list=RDBaSxCDp04WI&start_radio=1&pp=ygUIdHJlbmRpbmegBwHSBwkJBgoBhyohjO8%3D,5.3M views,2 weeks ago,3:20,Diamond Platnumz,5300000,14.0,3.3333333333333335,BaSxCDp04WI,46,0,True,False
#pov You watch the 2025 dance trend… then the OG shocks you cause it’s so different… #shorts,https://www.youtube.com/shorts/WW1QVKUft58,7.2M views,1 month ago,,Miuka,7200000,0.0006944444444444445,,WW1QVKUft58,92,2,True,False
